District,Station_name,State,Agency_name,Year,level,lat,long,is_filled
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2017,12.1,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2018,15.1,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2019,6.6,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2020,14.3625,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2021,6.023921881250001,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2022,11.75553497142857,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2023,12.327948662385323,23.15626944,75.562375,False
Ujjain,Ingoria,Madhya Pradesh,Madhya Pradesh GW,2024,16.93041675,23.15626944,75.562375,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2015,16.5,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2016,15.95,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2017,15.666666666666666,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2018,17.75,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2019,9.85,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2020,5.7,23.27433472,75.71445222,False
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2021,7.7,23.27433472,75.71445222,True
Ujjain,Khalana,Madhya Pradesh,Madhya Pradesh GW,2022,8.7,23.27433472,75.71445222,True
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2015,8.6,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2016,7.75,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2017,8.033333333333333,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2018,8.2,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2019,6.65,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2020,5.4,23.20444444,75.75583333,False
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2021,7.4,23.20444444,75.75583333,True
Ujjain,Makodia Aam Naka,Madhya Pradesh,Madhya Pradesh GW,2022,8.4,23.20444444,75.75583333,True
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2015,14.35,23.35394833,75.90589417,False
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2016,12.6,23.35394833,75.90589417,False
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2017,12.15,23.35394833,75.90589417,False
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2018,12.5,23.35394833,75.90589417,False
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2019,7.699999999999999,23.35394833,75.90589417,False
Ujjain,Malikhedi,Madhya Pradesh,Madhya Pradesh GW,2020,6.2,23.35394833,75.90589417,False
